127.0.0.1 - - [04/Jan/2021:16:05:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Jan/2021:16:05:08 +0900] "GET /hotel/ HTTP/1.1" 200 10697
0:0:0:0:0:0:0:1 - - [04/Jan/2021:16:05:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2021:16:05:35 +0900] "GET /hotel/member/postcode HTTP/1.1" 200 29617
0:0:0:0:0:0:0:1 - - [04/Jan/2021:16:05:55 +0900] "POST /sm/SmPrsAddrInq.do HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [04/Jan/2021:16:05:57 +0900] "GET /hotel/member/postcode HTTP/1.1" 200 29617
0:0:0:0:0:0:0:1 - - [04/Jan/2021:16:07:17 +0900] "GET /hotel/ HTTP/1.1" 200 10697
0:0:0:0:0:0:0:1 - - [04/Jan/2021:16:07:19 +0900] "GET /hotel/member/postcode HTTP/1.1" 200 29199
0:0:0:0:0:0:0:1 - - [04/Jan/2021:16:07:30 +0900] "POST /sm/SmPrsAddrInq.do HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [04/Jan/2021:16:07:32 +0900] "GET /hotel/member/postcode HTTP/1.1" 200 29199
0:0:0:0:0:0:0:1 - - [04/Jan/2021:16:07:43 +0900] "POST /sm/SmPrsAddrInq.do HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [04/Jan/2021:16:07:45 +0900] "GET /hotel/member/postcode HTTP/1.1" 200 29199
0:0:0:0:0:0:0:1 - - [04/Jan/2021:16:10:36 +0900] "GET /hotel/ HTTP/1.1" 200 10697
0:0:0:0:0:0:0:1 - - [04/Jan/2021:16:10:37 +0900] "GET /hotel/member/postcode HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [04/Jan/2021:16:10:49 +0900] "GET /hotel/member/postcode HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [04/Jan/2021:16:10:54 +0900] "GET /hotel/member/postcode?where=nexearch&sm=tab_etc&query=%EC%97%AD%EC%82%BC%EB%8F%99%20%EC%9A%B0%ED%8E%B8%EB%B2%88%ED%98%B8 HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [04/Jan/2021:16:10:55 +0900] "GET /hotel/member/postcode?where=nexearch&sm=tab_etc&query=%ED%99%94%EB%8F%84%EC%9D%8D%20%EC%9A%B0%ED%8E%B8%EB%B2%88%ED%98%B8 HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [04/Jan/2021:16:10:55 +0900] "GET /hotel/member/postcode?where=nexearch&sm=tab_etc&query=%EB%91%94%EB%82%B4%EB%A9%B4%20%EC%9A%B0%ED%8E%B8%EB%B2%88%ED%98%B8 HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [04/Jan/2021:16:10:56 +0900] "GET /hotel/member/postcode?where=nexearch&sm=tab_etc&query=%EC%A4%91%EC%95%99%EB%A1%9C%20%EC%9A%B0%ED%8E%B8%EB%B2%88%ED%98%B8 HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [04/Jan/2021:16:10:56 +0900] "GET /hotel/member/postcode?where=nexearch&sm=tab_etc&query=%EB%B6%88%EC%A0%95%EB%A1%9C432%EB%B2%88%EA%B8%B8%20%EC%9A%B0%ED%8E%B8%EB%B2%88%ED%98%B8 HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [04/Jan/2021:16:10:56 +0900] "GET /hotel/member/postcode?where=nexearch&sm=tab_etc&query=%EB%B6%88%EC%A0%95%EB%A1%9C432%EB%B2%88%EA%B8%B8%20%EC%9A%B0%ED%8E%B8%EB%B2%88%ED%98%B8 HTTP/1.1" 200 5408
