127.0.0.1 - - [07/Jan/2021:17:48:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jan/2021:17:48:22 +0900] "GET /hotel/ HTTP/1.1" 200 13625
0:0:0:0:0:0:0:1 - - [07/Jan/2021:17:48:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jan/2021:17:52:37 +0900] "GET /hotel/member/postcode HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [07/Jan/2021:17:53:23 +0900] "GET /hotel/ HTTP/1.1" 200 13553
0:0:0:0:0:0:0:1 - - [07/Jan/2021:17:53:57 +0900] "GET /hotel/ HTTP/1.1" 200 13567
0:0:0:0:0:0:0:1 - - [07/Jan/2021:17:53:57 +0900] "GET /hotel/ HTTP/1.1" 200 13567
0:0:0:0:0:0:0:1 - - [07/Jan/2021:17:53:58 +0900] "GET /hotel/ HTTP/1.1" 200 13567
0:0:0:0:0:0:0:1 - - [07/Jan/2021:17:53:59 +0900] "GET /hotel/ HTTP/1.1" 200 13567
0:0:0:0:0:0:0:1 - - [07/Jan/2021:17:53:59 +0900] "GET /hotel/ HTTP/1.1" 200 13567
0:0:0:0:0:0:0:1 - - [07/Jan/2021:17:54:01 +0900] "GET /hotel/ HTTP/1.1" 200 13567
0:0:0:0:0:0:0:1 - - [07/Jan/2021:17:54:14 +0900] "GET /hotel/ HTTP/1.1" 200 13570
0:0:0:0:0:0:0:1 - - [07/Jan/2021:17:54:16 +0900] "GET /hotel/member/postcode HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [07/Jan/2021:17:54:40 +0900] "POST /hotel/member/postcode HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [07/Jan/2021:17:55:09 +0900] "GET /hotel/ HTTP/1.1" 200 13560
0:0:0:0:0:0:0:1 - - [07/Jan/2021:17:55:10 +0900] "GET /hotel/ HTTP/1.1" 200 13560
0:0:0:0:0:0:0:1 - - [07/Jan/2021:17:55:10 +0900] "GET /hotel/ HTTP/1.1" 200 13560
0:0:0:0:0:0:0:1 - - [07/Jan/2021:17:55:52 +0900] "GET /hotel/member/postcode HTTP/1.1" 200 1646
0:0:0:0:0:0:0:1 - - [07/Jan/2021:17:56:02 +0900] "POST /hotel/member/postcode HTTP/1.1" 200 1902
